Name,Image URL,Prefecture,Areas,Types,Seasons,Ingredients,Servings,Quantities,Recipes,Detail URL,Ingredients list
ひゅうが丼（ひゅうがどん）,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/oita_5_1.jpg,大分県,['九州'],"['飯料理', '魚料理']",['通年'],マグロ、米、ごま、卵、醤油,5人分,"[['米', '3合'], ['マグロ', '2冊'], ['いりごま', '20g'], ['醤油', '40cc'], ['砂糖', '30g'], ['みりん', '少々'], ['酒', '少々'], ['卵黄', '1個分'], ['小ねぎ', '少々']]","['いりごまをよくすり、砂糖を加えて、さらにする。', '卵黄を加える。', '酒、みりん、醤油を加えて、さらにすり混ぜ、たれをつくる。', 'マグロを薄く切る。', '3のたれにマグロを入れ、小口切りにした小ねぎを少し入れて馴染ませる。', '熱々のごはんの上に、たれにつけたマグロをのせ、改めて小口切りの小ねぎを飾って完成。']",https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/hyugadon_oita.html,"['マグロ', '米', 'ごま', '卵', '醤油']"
染飯（そめいい）,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/shizuoka_7_1.jpg,静岡県,"['関東', '中部']",['飯料理'],['通年'],米、もち米、くちなしの実、煎茶,5人分,"[['米', '1合'], ['もち米', '1合'], ['くちなしの実', '1～2個'], ['水', '1カップ'], ['【A】塩', '小さじ2/3'], ['【A】酒', '大さじ1'], ['【A】水', '1カップ'], ['【A】煎茶', '小さじ1'], ['ごま（黒）', '適量']]","['米・もち米を洗って水に浸けておく。', 'くちなしの実をさじで突いて細かくつぶし、水に浸けて浸出液を作る。', '炊飯器に1を入れ、2・【A】を加えて炊く。', '炊きあがったら、器に盛り、お好みでごまを散らす。']",https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/36_7_shizuoka.html,"['米', 'もち米', 'くちなしの実', '煎茶']"
ばらずし,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/osaka_3_1.jpg,大阪府,"['近畿', '関西']",['飯料理'],['通年'],米、ちりめんじゃこ、れんこん、にんじん、高野豆腐、干ししいたけ、ごぼう、きぬさや、卵,4人分,"[['【すし飯】米', '3合'], ['【すし飯A】米酢', '大さじ4'], ['【すし飯A】砂糖', '大さじ3'], ['【すし飯A】塩', '小さじ1'], ['【すし飯A】昆布茶', '小さじ1/2'], ['【具】えびじゃこ', '100g'], ['【具B】かつおだし', '1/2カップ'], ['【具B】薄口しょうゆ', '大さじ1/2'], ['【具B】砂糖', '小さじ1'], ['【具B】塩', '少々'], ['【具B】塩', '少々'], ['【具】かんぴょう', '10g'], ['【具】にんじん', '1/2本'], ['【具】干し椎茸', '3枚'], ['【具】高野豆腐', '2個'], ['【具】ゆでたけのこ', '100g'], ['【具】ちりめんじゃこ', '大さじ2'], ['【具】酢', '小さじ1'], ['【具】塩', '小さじ1'], ['【飾り用】錦糸卵', '適量'], ['【飾り用】紅しょうが', '適量'], ['【飾り用】きゅうり', '1/2本'], ['【飾り用】刻みのり', '適量'], ['【調味料C】昆布だし', '1カップ'], ['【調味料C】椎茸戻し汁', '1カップ'], ['【調味料C】薄口しょうゆ', '大さじ1'], ['【調味料C】濃口しょうゆ', '大さじ1'], ['【調味料C】砂糖', '大さじ2'], ['【調味料C】みりん', '小さじ2'], ['【調味料C】酒', '小さじ2']]","['炊飯器ですし飯用の水量で米を炊く。炊き上がったら合わせ酢【すし飯A】を加え、すし飯をつくる。', 'にんじん、干し椎茸は水でもどして1cmの長さで千切りにする。', 'かんぴょうは塩揉みをして、水洗い後5mm程に切る。高野豆腐は水でもどして1cm幅に切り、さらに細かく切る（3mm幅くらい）。ゆでたけのこも同様にして切る。', 'えびじゃこは皮をむき、【具B】の調味料で火が通るまで煮る。※火が通ると丸くなる', '鍋に【調味料C】を煮立て、にんじん・かんぴょう・干し椎茸・高野豆腐・ゆでたけのこを加え、汁が無くなるまで煮る。', 'ちりめんじゃこは酢につけておく。', '錦糸卵・紅しょうが・きゅうりは千切りにする。', '1のすし飯に5の具と、お酢からあげて水気を切ったちりめんじゃこを加え混ぜ合わせる。', '器に8を盛り、えびじゃこ・錦糸卵・紅しょうが・きゅうり・刻みのりを飾る。']",https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/39_3_osaka.html,"['米', 'ちりめんじゃこ', 'レンコン', '人参', '豆腐', 'しいたけ', 'ゴボウ', 'きぬさや', '卵']"
もろこずし,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/aichi_9_1.jpg,愛知県,"['東海', '中部']","['飯料理', '魚料理']",['春'],米、モロコ,4人分,"[['すし飯', '500g'], ['モロコ', '200g'], ['しょうが', '1かけ'], ['【A】 酒', '大さじ4'], ['【A】 砂糖', '大さじ2'], ['【A】 たまり醤油', '大さじ4'], ['【A】 酢', '大さじ1'], ['みりん', '大さじ4']]","['モロコは洗っておく。しょうがは皮つきのまま千切りにする。', '鍋にAを入れて火にかけ、煮立ってきたら1のモロコを少量ずつ入れ、しょうがを加え、弱火で煮汁がなくなるまで煮る。', '2にみりんを加えて、煮汁をかけながら艶がでるまで煮上げ、冷ます。', '水気をよく拭き取った箱の中にすし飯を入れ、軽く押さえて表面をなめらかにしておく。', '4に3を並べ、押し蓋をしっかりしてしばらくおく。']",https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/morokozushi_aichi.html,"['米', 'モロコ']"
鯛めし（たいめし）,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hiroshima_9_1.jpg,広島県,['中国'],['飯料理'],['通年'],米、鯛、塩、だし汁,4人分,"[['精米', '2合'], ['水', '450ml'], ['鯛', '1尾'], ['にんじん', '20g'], ['ごぼう', '20g'], ['【調味料】薄口しょうゆ', '大さじ1'], ['【調味料】塩', '小さじ1/3'], ['【調味料】酒', '大さじ1'], ['だし昆布', '10cm角'], ['きざみのり', '適量']]","['鯛はうろこと内臓を取り、きれいに洗っておく。', 'にんじんはせん切りにし、ごぼうはささがきにして、水にさらしあくを抜く。', '洗った米に水、2、【調味料】を入れ、だし昆布を敷き1をのせて炊く。', '炊きあがったら、鯛の身をほぐして混ぜる。', '4を器に盛り、きざみのりをのせる。']",https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/42_9_hiroshima.html,"['米', 'タイ', '塩', '出汁']"
大阪寿司（おおさかずし）,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/osaka_14_1.jpg,大阪府,"['近畿', '関西']","['飯料理', '魚料理']",['通年'],米、卵、鯛、えび、あなご,4人分,"[['【寿司飯】米', '3カップ'], ['【寿司飯】だし昆布', '10cm角'], ['【合わせ酢A】酢', '大さじ4'], ['【合わせ酢A】砂糖', '大さじ1.5'], ['【合わせ酢A】塩', '小さじ1'], ['えび', '2尾'], ['【B】酢', '大さじ2'], ['【B】砂糖', '大さじ0.5'], ['【B】塩', '小さじ0.5'], ['卵', '1.5個'], ['【C】だし汁', '大さじ0.5'], ['【C】みりん', '大さじ0.5'], ['【C】砂糖', '大さじ1'], ['【C】塩', '少々'], ['焼きあなご（市販）', '2匹'], ['【D】だし汁', '70cc'], ['【D】濃い口醤油', '大さじ2'], ['【D】みりん', '大さじ2'], ['【D】砂糖', '大さじ1'], ['干ししいたけ', '3枚'], ['【E】つけ汁', '100cc'], ['【E】砂糖', '大さじ1.5'], ['【E】濃い口醤油', '大さじ1'], ['小鯛笹漬け（市販）', '3枚'], ['焼きのり', '全型1/3枚'], ['※太巻き・伊達巻の材料は除く', '']]","['えびは背わたをとって水で洗い、尾から腹側に沿って竹串を刺し、塩ゆでにする。', '冷めたら串を抜き、殻をむいて【B】の合わせ酢に5～6分つけてから2枚にそぐ。', '卵は【C】で調味して2cm程度の厚さに焼く。', '焼きあなごは【D】で10分程煮、煮汁をつけたまま冷ます。', 'しいたけは水でもどし、【E】で煮て味を含ませた後、みじん切りにする。', '2、3、4はすし型の大きさに合わせて、長方形に切る。型に入れ押す。', '寿司型を水でぬらし、寿司型の大きさに切って酢水でぬらした葉らんを敷く。寿司飯を平均に詰めて卵焼きをのせ、えびをその上に彩りよくのせてその上に葉らんをのせ、押しぶたをし、わくごと平均に力を入れて押す。', '同じ要領で、寿司飯を半量詰め、5を散らしその上に残りの寿司飯をのせ、あなご、葉らんの順にのせて押す。', '同じ要領で、寿司飯を半量詰め、焼きのりを敷いてその上に残りの寿司飯をのせ、小鯛笹漬け、葉らんの順にのせ押す。', '7、8、9をそれぞれ6等分に切り、1種類ずつ盛りつける。']",https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/39_14_osaka.html,"['米', '卵', 'タイ', 'エビ', 'アナゴ']"
うに飯（うにめし）,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/yamaguchi_24_1.jpg,山口県,['中国'],"['飯料理', '魚料理']",['通年'],ウニ,1人分,"[['生ウニ（ムラサキウニもしくはアカウニ）', '10g'], ['白米', '1合'], ['日本酒', '小さじ1'], ['しょうゆ', '大さじ1弱'], ['昆布', '0.5g']]","['こぶを敷いた釜によく洗った米を入れ、普通のご飯を炊くときよりも少なめの水、それに日本酒としょうゆを適量加える。（水で戻して細切りにしたしいたけを加える場合もある。）', '火にかけて沸騰する直前に米の1割程度の生ウニを入れ、炊きあがったらよくかき混ぜる\n※具の増量のために細かく切ったさざえの身を混ぜたりすることもあります。']",https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/43_24_yamaguchi.html,['ウニ']
酒ずし（さけずし）,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/kagoshima_1_1.jpg,鹿児島県,['九州'],['飯料理'],['春'],米、干し大根、干ししいたけ、ゆでたけのこ、つけあげ（さつま揚げ）、タイ、地酒（灰持酒）,8～10人分,"[['米', '5カップ'], ['水', '5カップ'], ['出汁昆布', '5～6cm'], ['干し大根', '30g'], ['干ししいたけ', '5枚'], ['ふき', '5本'], ['たけのこ', '150g'], ['人参', '75g'], ['卵', '4個'], ['タイ', '1/2尾'], ['エビ', '10尾'], ['つけあげ（さつま揚げ）', '100g'], ['かまぼこ', '150g'], ['こがやき', '150g'], ['木の芽', '適量'], ['【薬味】 三つ葉、高菜漬物、ごま', '適量'], ['【A】 地酒', '3カップ'], ['【A】 塩', '小さじ1'], ['【B】 砂糖', '大さじ1/2'], ['【B】 淡口醤油', '大さじ1'], ['【B】 地酒', '大さじ1'], ['【C】 砂糖', '大さじ1'], ['【C】 濃口醤油', '大さじ2'], ['【C】 地酒', '大さじ1'], ['【D】 淡口醤油', '小さじ1'], ['【D】 地酒', '大さじ1/2'], ['【D】 塩', '少々'], ['【E】 塩', '小さじ1/4'], ['【E】 砂糖', '小さじ1'], ['【E】 地酒', '大さじ1'], ['【F】 塩', '少々'], ['【F】 地酒', '大さじ1/2'], ['【G】 塩', '大さじ1/4'], ['【G】 砂糖', '大さじ1/2'], ['【G】 地酒', '大さじ1'], ['【G】 片栗粉', '小さじ1/2'], ['【H】 酢', '大さじ1'], ['【H】 砂糖', '大さじ1/2'], ['【H】 塩', '小さじ1/4'], ['【I】 酢', '大さじ1'], ['【I】 砂糖', '大さじ1/2'], ['【I】 塩', '小さじ1/4']]","['米は同量の水に出汁昆布を入れ、ふっくら炊き上げる。', '【具を準備する】干し大根は水で戻し、Bで調味し、1cmの長さに切る。干ししいたけは水で戻し、水煮してCで調味し、汁がなくなるまで煮て、千切りにする。ふきはゆでて皮を剥き、ひたひたのだし汁とDで色よく煮て、1.5cmの長さに切る。たけのこは1cmの長さに切り、だし汁（分量外）で煮て、軽くEで調味して煮上げる。人参は細めの短冊切りにしてFで煮る。卵は割りほぐしてGを加え、薄焼き卵をつくり、ひし形に切る。タイは3枚におろして塩をし、1時間ほどおいて皮を剥ぎ、酢洗いしてHの甘酢に漬ける。エビは殻を剥き、背わたをとり、串をさしてさっとゆで、開いてIの甘酢に漬ける。つけあげ、かまぼこ、こがやきは1.5cmの長さの短冊切りにする。', '1のごはんがよく冷めてからAを合わせる。', 'すし桶に地酒を振り、3のごはんを2～3cmの厚さに入れ、干し大根、人参、ふきを散らし、その上に米をのせ、しいたけ、たけのこを散らし、タイ、エビ、木の芽などで上をきれいに飾る。', '地酒を振って蓋（重石を置く）をし、数時間（6～8時間程度）寝かせて味を馴染ませる。', '桶ごと持ち出し、切るように盛る。薬味をそえる。']",https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/sakezushi_kagoshima.html,"['米', '大根', 'しいたけ', 'タケノコ', 'さつま揚げ', 'タイ', '酒']"
おばく,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/yamanasi_20_1.jpg,山梨県,"['関東', '中部', '甲信越']","['飯料理', '野菜料理']",['通年'],丸麦、米、じゃがいも、大根、金時豆、さつまいも、里芋,お茶碗20杯分,"[['丸麦', '500g'], ['米', '2合'], ['じゃがいも', '200g'], ['大根', '200g'], ['金時豆', '125g'], ['さつまいも', '300g'], ['里芋', '200g'], ['【つけ合わせねぎ味噌】味噌', '適量'], ['【つけ合わせねぎ味噌】ねぎ', '1～2本'], ['【つけ合わせねぎ味噌】花カツオ', '5g×1～2袋'], ['【つけ合わせねぎ味噌】砂糖', '小さじ1']]","['【下準備（ねぎ味噌）】\nねぎを薄切りにする。味噌、ねぎ、花カツオ、砂糖を混ぜる。', '前日に、丸麦を煮る。（3～4時間程度水に浸し、玄米の水位4合あたりで炊飯器で炊いておく）\nまた、金時豆を前夜から水に浸す。', '米を研いで水に浸す。（米2合と水800ml程度）', '金時豆を鍋に入れ水3～4L位で煮立てておく。\n（最初から水を多く入れすぎず足りないようなら足す気持ちで）', '大根を厚さ2mm位の短冊切りにする。\n里芋、じゃがいも、さつまいもを約1.5cmの角切りにして食べ頃にゆでておく。', '金時豆が煮立っている鍋に4の大根と、1の丸麦を加え、焦げないように時々混ぜる。', '金時豆、大根がやや柔らかくなったら2の米と水をすべて鍋に加える。\n※焦げないように常に鍋底からヘラでかき混ぜる。', '米が柔らかくなり、混ぜると鍋底が見えるようになったら里芋、じゃがいも、さつまいもを加えて仕上げる。']",https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/obaku_yama_nashi.html,"['麦', '米', 'ジャガイモ', '大根', '金時豆', 'さつまいも', '里芋']"
お茶がい／茶がゆ（おちゃがい／ちゃがゆ）,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/saga_5_1.jpg,佐賀県,['九州'],['飯料理'],['通年'],ご飯,4人分,"[['米', '200g'], ['番茶', '20g'], ['水', '1,600ml']]","['米は洗って、ざるにあげておく。', '分量の水を沸騰させ、番茶を加え、約2分加熱して茶汁を作る。（茶は、袋に入れるよりも、茶葉をそのまま炊き出した方が、粥の粘り方が少なく、風味がでる。）そのうち、200mlの茶汁はとっておき、でき上がりが硬いようであれば、好みで仕上げに加える。', '2の茶汁に米を加え、沸騰したら、ふきこぼれないように煮る。']",https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/45_5_saga.html,['米']
